Test ID,Any Losses in the Past 3 Years?,Any Unrepaired Damage from Prior Losses?,Add extra subjectivities?,Subjectivity Text,Notes about the Insured,Loss #,Loss Year,Premium at Time of Loss ($),Type of Loss,Loss Description (if Other),Amount Paid ($),Amount Outstanding ($),Notes
TS-064,Yes,Yes,Yes,Install GPS tracking,Experienced operators,1.0,2023.0,$22300,Collision,,$9700,$0,Settlement issued and accepted by claimant.
TS-065,Yes,No,No,,Records reviewed and satisfactory,1.0,2025.0,$28750,Theft,,$17600,$2800,Claim file updated with final documentation.
TS-066,Yes,Yes,No,,Risk profile acceptable,1.0,2024.0,$16500,Overturn,,$7400,$0,No coverage disputes identified during review.
TS-067,Yes,No,Yes,Require updated driver list,No recent claims reported,1.0,,,,,,,
TS-068,Yes,Yes,No,,Well maintained fleet,1.0,2023.0,$20950,Theft,,$13350,$2150,Loss reserve released after closure.
TS-069,No,,,,,,,,,,,,
TS-070,Yes,Yes,Yes,Install GPS tracking,Experienced operators,1.0,2023.0,$17450,Theft,,$9200,$600,Corrective measures implemented by insured.
TS-071,Yes,Yes,No,,Records reviewed and satisfactory,1.0,2025.0,$26500,Overturn,,$19800,$3600,Incident reviewed by risk management team.
TS-072,Yes,No,No,,Risk profile acceptable,1.0,2024.0,$15400,Fire,,$8600,$500,Loss adjusted according to policy terms.
TS-073,Yes,No,Yes,Require updated driver list,No recent claims reported,1.0,2024.0,$30250,Collision,,$24100,$4100,Insured cooperated throughout investigation.
TS-074,Yes,No,No,,Well maintained fleet,1.0,,,,,,,
TS-075,Yes,No,No,,Annual safety training completed,1.0,2023.0,$22300,Collision,,$9700,$0,Settlement issued and accepted by claimant.
TS-076,Yes,No,Yes,Install GPS tracking,Experienced operators,1.0,2025.0,$28750,Theft,,$17600,$2800,Claim file updated with final documentation.
TS-077,Yes,Yes,No,,Records reviewed and satisfactory,1.0,2024.0,$16500,Overturn,,$7400,$0,No coverage disputes identified during review.
TS-078,Yes,No,No,,Risk profile acceptable,1.0,2023.0,$22300,Collision,,$9700,$0,
TS-079,Yes,No,Yes,Require updated driver list,No recent claims reported,1.0,2025.0,$28750,Theft,,$17600,$2800,Loss reserve released after closure.
TS-080,Yes,Yes,No,,Well maintained fleet,1.0,2024.0,$16500,Overturn,,$7400,$0,
