Test ID,Refrigeration breakdown coverage required?,Any reefer trailers older than 10 years?,Reefer trailer serviced at least every 30 days?,Hauls seafood or shellfish?,Radius of operations (applies to Cargo and APD),Terminal coverage required?,Trailer Interchange (TI) coverage required?,TI Limit ($),Written TI agreement in place?,Cargo limit per unit ($),Average exposure per unit ($),Maximum exposure per unit ($),Loads ever exceed cargo insurance limit?,Cargo deductible,Physical Damage deductible (PhysDam only),T&S limit (PhysDam only),UW Deductible Override
TS-030,No,No,Yes,No,Over 1000 mi,No,Yes,$25000,Yes,56000,15000,23500,No,$1000,"$2,500","$5,000",350
TS-031,Yes,No,Yes,Yes,0-25 mi,Yes,Yes,$100000,Yes,21000,2500,6000,Yes,500,"$1,000","$10,000",90
TS-032,No,No,Yes,No,26-50 mi,No,No,$0,No,90000,21000,75000,No,$1000,$500,"$10,000",120
TS-033,Yes,Yes,No,Yes,51-75 mi,Yes,No,$0,No,59000,25000,54500,No,$2500,"$2,000","$5,000",400
TS-034,No,No,Yes,No,76-100 mi,No,Yes,$50000,Yes,80000,56000,56000,No,$1000,"$1,000","$5,000",55
TS-035,Yes,No,Yes,Yes,101-150 mi,Yes,Yes,$75000,Yes,97000,69500,93500,Yes,500,"$2,500","$5,000",275
TS-036,No,No,Yes,No,151-200 mi,No,No,$0,No,92000,44500,51500,No,500,"$1,500","$5,000",140
TS-037,Yes,No,Yes,No,201-300 mi,Yes,No,$0,No,65000,11000,40000,No,500,$500,"$5,000",320
TS-038,No,Yes,No,No,301-500 mi,No,Yes,$100000,Yes,43000,33000,35500,No,500,"$2,500","$10,000",200
TS-039,Yes,No,Yes,No,501-1000 mi,Yes,Yes,$50000,Yes,90000,39000,79500,No,$2500,"$1,000","$10,000",600
TS-040,No,No,Yes,No,Over 1000 mi,No,No,$0,No,29000,12500,17500,No,$1000,"$1,500","$5,000",85
TS-041,Yes,No,Yes,No,0-25 mi,Yes,No,$0,No,86000,42000,73000,No,$2500,"$1,000","$10,000",150
TS-042,No,No,No,No,26-50 mi,No,Yes,$75000,Yes,24000,12500,17000,No,$1000,"$2,500","$10,000",75
TS-043,Yes,Yes,No,Yes,51-75 mi,Yes,Yes,$100000,Yes,17000,4500,13500,No,$2500,$500,"$10,000",300
TS-044,No,No,Yes,No,76-100 mi,No,No,$0,No,20000,12500,20000,No,$1000,"$1,500","$10,000",500
TS-045,No,No,Yes,No,101-150 mi,Yes,No,$0,No,78000,50000,54000,Yes,500,"$2,000","$5,000",200
TS-046,Yes,No,Yes,No,151-200 mi,No,Yes,$50000,Yes,94000,61500,72000,No,$2500,"$1,000","$10,000",600
TS-047,No,Yes,Yes,No,201-300 mi,Yes,Yes,$150000,Yes,77000,56500,75500,No,$1000,"$2,500","$5,000",85
TS-048,No,No,Yes,No,301-500 mi,No,No,$0,No,37000,18000,24000,No,$1000,"$1,000","$5,000",250
TS-049,Yes,No,Yes,Yes,501-1000 mi,Yes,No,$0,No,61000,43500,55000,No,$2500,"$1,500","$10,000",100
TS-050,No,No,No,No,Over 1000 mi,No,Yes,$100000,Yes,76000,29500,37000,No,$1000,"$2,000","$5,000",400
TS-051,Yes,No,Yes,No,0-25 mi,Yes,Yes,$250000,Yes,38000,3000,24500,Yes,500,$500,"$5,000",50
TS-052,No,No,Yes,No,26-50 mi,No,No,$0,No,85000,30000,67500,No,$1000,"$1,500","$5,000",175
TS-053,No,Yes,No,No,51-75 mi,Yes,No,$0,No,10000,1500,2500,No,$2500,"$1,000","$10,000",550
TS-054,Yes,No,Yes,No,76-100 mi,No,Yes,$50000,Yes,18000,1500,12500,No,$1000,"$2,500","$10,000",220
TS-055,No,No,Yes,No,101-150 mi,Yes,Yes,$100000,Yes,75000,16000,33500,No,$2500,"$1,000","$5,000",65
TS-056,No,No,Yes,No,151-200 mi,No,No,$0,No,37000,18000,22000,No,$1000,$500,"$5,000",300
TS-057,Yes,No,Yes,Yes,201-300 mi,Yes,No,$0,No,41000,31000,37500,Yes,500,"$2,000","$5,000",120
TS-058,No,Yes,No,No,301-500 mi,No,Yes,$75000,Yes,22000,4000,17500,No,$2500,"$1,500","$10,000",480
TS-059,Yes,No,Yes,No,501-1000 mi,Yes,Yes,$150000,Yes,64000,27000,56500,No,$1000,"$2,500","$10,000",90
TS-060,No,No,Yes,No,Over 1000 mi,No,No,$0,No,96000,13500,21000,No,$1000,"$1,000","$5,000",350
TS-061,Yes,No,Yes,No,0-25 mi,Yes,No,$0,No,53000,7500,23000,No,$1000,"$1,000","$5,000",45
TS-062,No,Yes,No,No,26-50 mi,No,Yes,$100000,Yes,34000,18000,32000,No,$2500,"$2,500","$5,000",120
TS-063,Yes,No,Yes,Yes,51-75 mi,Yes,Yes,$150000,Yes,64000,12500,30000,No,$1000,$500,"$10,000",310
TS-064,No,No,Yes,No,76-100 mi,No,No,$0,No,41000,5500,33500,No,$2500,"$1,500","$5,000",75
TS-065,Yes,Yes,Yes,No,101-150 mi,Yes,No,$0,No,16000,11000,15000,No,$1000,"$2,000","$5,000",210
TS-066,No,No,Yes,No,151-200 mi,No,Yes,$50000,Yes,21000,8500,11000,No,1000,"$1,000","$10,000",500
TS-067,Yes,No,Yes,No,201-300 mi,Yes,Yes,$75000,Yes,72000,31500,45000,Yes,$1000,"$2,500","$10,000",180
TS-068,No,No,No,No,301-500 mi,No,No,$0,No,17000,3500,9500,No,$2500,"$1,500","$10,000",30
TS-069,Yes,Yes,No,Yes,501-1000 mi,Yes,No,$0,No,59000,17500,46500,No,$1000,$500,"$10,000",265
TS-070,No,No,Yes,No,Over 1000 mi,No,Yes,$125000,Yes,64000,45500,63000,No,$2500,"$2,000","$5,000",90
TS-071,Yes,No,Yes,Yes,0-25 mi,Yes,No,$0,No,29000,7000,16000,Yes,$1000,"$1,000","$10,000",405
TS-072,No,Yes,Yes,No,26-50 mi,No,Yes,$60000,Yes,17000,10000,15500,No,1000,"$2,500","$5,000",60
TS-073,Yes,No,Yes,No,51-75 mi,Yes,Yes,$100000,Yes,50000,4500,7500,No,$1000,"$1,500","$5,000",150
TS-074,No,No,No,No,76-100 mi,No,No,$0,No,74000,55500,72000,No,$2500,"$1,000","$5,000",330
TS-075,Yes,Yes,No,No,101-150 mi,Yes,No,$0,No,17000,9000,10000,No,$1000,"$2,000","$10,000",55
TS-076,No,No,Yes,No,151-200 mi,No,Yes,$90000,Yes,18000,10500,11500,No,$2500,$500,"$10,000",240
TS-077,Yes,No,Yes,Yes,201-300 mi,Yes,Yes,$50000,Yes,61000,8500,44500,No,$1000,"$2,500","$10,000",390
TS-078,No,No,Yes,No,301-500 mi,No,No,$0,No,84000,6000,16000,No,1000,"$1,000","$5,000",500
TS-079,Yes,Yes,Yes,No,501-1000 mi,Yes,No,$0,No,94000,73000,89500,No,$1000,"$1,500","$5,000",110
TS-080,No,No,Yes,No,Over 1000 mi,No,Yes,$75000,Yes,43000,14000,35000,No,$2500,"$2,000","$5,000",15
